,nectar.at.flower.scale.in..microgram.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year
Lotus corniculatus,61.82,3613.92,21,61.82,3613.92,21,22.59,1.7087632,1.29861346,2.11891294,50.14029157,NA,22.59,empirical
Lotus pedunculatus,35.36,926.51,10,35.36,926.51,10,8.45,1.7087632,1.29861346,2.11891294,50.14029157,NA,8.45,empirical
Lupinus polyphyllus,NA,NA,NA,NA,NA,NA,NA,1.91573,1.4623374,2.36912259,81.36259014,NA,81.36,modelled
Lychnis flos-cuculi,NA,NA,NA,NA,NA,NA,NA,1.93210137,1.18111459,2.68308814,84.5266311,NA,84.53,modelled
Lycopus europaeus,NA,NA,NA,NA,NA,NA,NA,2.6122992,1.95445534,3.27014305,408.5427076,NA,408.54,modelled
Lysimachia nemorum,7.18,14.53,10,22.56,163.53,10,0.65,0.37918804,-0.42611429,1.18449037,1.39435223,NA,0.65,empirical
Lythrum salicaria,136.72,15835.43,20,136.72,15835.43,20,190.77,1.99318581,1.28439488,2.70197673,97.44321947,NA,190.77,empirical
Malus domestica,110.21,9953.57,16,175.83,31780.26,16,7.92,1.88304301,1.27479176,2.49129425,75.39114276,NA,7.92,empirical
Matricaria discoidea,0.28,0.79,10,0.5,2.5,10,50.83,1.67955934,1.27126115,2.08785753,46.81446942,NA,50.83,empirical
Matricaria recutita,0.6,1.68,10,0.75,2.85,10,58.31,2.0771676,1.52328284,2.63105236,118.4448966,NA,58.31,empirical
Medicago lupulina,1.63,5.52,8,2.5,14.35,8,21.17,1.53312724,0.80283532,2.26341916,33.12928866,NA,21.17,empirical
Medicago sativa,146.14,5026.68,10,146.14,5026.68,10,126.4,1.38775376,0.86554125,1.90996627,23.42045536,NA,126.4,empirical
Melilotus officinalis,20.17,172.73,10,28.99,357.58,10,107.32,2.21990254,1.49185377,2.94795131,164.9214511,NA,107.32,empirical
Mentha aquatica,NA,NA,NA,NA,NA,NA,NA,2.24653334,1.66688591,2.82618077,175.4141183,NA,175.41,modelled
Mercurialis perennis,0,0,20,0,0,20,0,0.06490783,-0.60345284,0.7332685,0.16120215,NA,0,empirical
Montia fontana,NA,NA,NA,NA,NA,NA,NA,0.9271751,-0.41555202,2.26990222,7.45619713,NA,7.46,modelled
Myosotis arvensis,23.36,374,20,48.11,1456.49,20,478.1,2.68042727,1.35529372,4.00556081,478.1012094,NA,478.1,empirical
Narthecium ossifragum,0,0,10,0,0,10,0,0.13428952,-0.64921792,0.91779695,0.36235257,NA,0,empirical
Odontites vernus,10.84,275.8,10,23.3,1112.36,10,NA,1.95618604,1.33266347,2.57970862,89.40366612,NA,89.4,modelled
Oenanthe crocata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onobrychis viciifolia,NA,NA,NA,NA,NA,NA,NA,1.7087632,1.29861346,2.11891294,50.14029157,NA,50.14,modelled
Origanum vulgare,49.84,925.94,20,49.84,925.94,20,901.57,2.24653334,1.66688591,2.82618077,175.4141183,NA,901.57,empirical
Oxalis acetosella,15.53,142.22,20,26.73,294.3,20,3.76,1.30641051,0.55472833,2.05809269,19.24932299,NA,3.76,empirical
Papaver dubium,NA,NA,NA,NA,NA,NA,NA,-0.02676313,-1.40143814,1.34791188,-0.05976402,NA,0,modelled
Papaver rhoeas,5.35,105.1,14,8.94,386.83,14,0.47,0.16604703,-1.15908652,1.49118057,0.46570654,NA,0.47,empirical
Papaver somniferum,NA,NA,NA,NA,NA,NA,NA,0.53181288,-0.82858241,1.89220818,2.40261556,NA,2.4,modelled
Pastinaca sativa,0.13,0.16,20,0.25,0.59,20,NA,1.88788816,1.03822049,2.73755583,76.24816283,NA,76.25,modelled
Pedicularis sylvatica,NA,NA,NA,NA,NA,NA,NA,2.25828747,1.16631383,3.35026112,180.2539473,NA,180.25,modelled
Persicaria lapathifolium,NA,NA,NA,NA,NA,NA,NA,1.12239307,0.33007021,1.91471592,12.25540699,NA,12.26,modelled
Persicaria maculosa,20.34,655.48,10,71.13,13256.23,10,17.06,0.75662721,-0.05418317,1.56743758,4.70988298,NA,17.06,empirical
Petasites hybridus,NA,NA,NA,NA,NA,NA,NA,2.3655599,2.03339428,2.69772552,231.0384188,NA,231.04,modelled
Picris echioides,6.48,22.1,8,7.52,28.73,8,113.41,2.00056878,1.58930599,2.41183158,99.1310529,NA,113.41,empirical
Pilosella officinarum,7.08,140.2,10,8.55,197.83,10,6.86,NA,NA,NA,NA,NA,6.86,empirical
Pinguicula vulgaris,NA,NA,NA,NA,NA,NA,NA,2.19297787,1.5578542,2.82810155,154.9473051,NA,154.95,modelled
Pisum sativum,20.2,400.06,20,26.42,445.48,20,0.96,1.12056294,0.52891488,1.712211,12.19966586,NA,0.96,empirical
Plantago coronopus,0,0,10,0,0,10,0,-0.02096839,-0.67266169,0.63072491,-0.04713448,NA,0,empirical
Plantago lanceolata,NA,NA,NA,NA,NA,NA,NA,0.13783068,-0.55784188,0.83350324,0.37350637,NA,0.37,modelled
Plantago major,0,0,10,0,0,10,0,-0.02096839,-0.67266169,0.63072491,-0.04713448,NA,0,empirical
Plantago maritima,NA,NA,NA,NA,NA,NA,NA,0.13783068,-0.55784188,0.83350324,0.37350637,NA,0.37,modelled
Plantago media,NA,NA,NA,NA,NA,NA,NA,0.13783068,-0.55784188,0.83350324,0.37350637,NA,0.37,modelled
Polygala vulgaris/serpyllifolia,NA,NA,NA,NA,NA,NA,NA,1.30641051,0.55472833,2.05809269,19.24932299,NA,19.25,modelled
Polygonum aviculare agg.,3.05,24.7,20,6.15,94.16,20,2.11,1.12239307,0.33007021,1.91471592,12.25540699,NA,2.11,empirical
Populus tremula,NA,NA,NA,NA,NA,NA,NA,2.87812225,1.43847558,4.31776891,754.3048024,NA,NA,NA
Potentilla anserina,5.62,83.64,19,12.27,513.93,19,0.09,1.04131177,0.57457435,1.50804919,9.99795072,NA,0.09,empirical
Potentilla erecta,33.28,441.12,9,43.62,639.23,9,46.83,1.04131177,0.57457435,1.50804919,9.99795072,NA,46.83,empirical
Potentilla reptans,30.85,830.53,5,60.18,3335.03,5,18.97,NA,NA,NA,NA,NA,18.97,empirical
Potentilla sterilis,NA,NA,NA,NA,NA,NA,NA,0.84850161,0.29368976,1.40331346,6.0550746,NA,6.06,modelled
Primula veris,NA,NA,NA,NA,NA,NA,NA,2.01829898,1.16481114,2.87178681,103.3035223,NA,103.3,modelled
Primula vulgaris,171.91,37325.02,20,171.91,37325.02,20,73.47,2.01829898,1.16481114,2.87178681,103.3035223,NA,73.47,empirical
Prunella vulgaris,138.62,18230.51,16,138.62,18230.51,16,324.27,2.28912106,1.80226344,2.77597867,193.5902419,NA,324.27,empirical
Prunus avium,384.48,78858.82,21,384.48,78858.82,21,196.69,1.04131177,0.57457435,1.50804919,9.99795072,NA,196.69,empirical
Prunus domestica,NA,NA,NA,NA,NA,NA,NA,1.40707763,0.9005576,1.91359766,24.53157625,NA,24.53,modelled
Prunus spinosa,266.23,18028.71,20,266.23,18028.71,20,258.51,1.40707763,0.9005576,1.91359766,24.53157625,NA,258.51,empirical
Pulicaria dysenterica,0.21,0.4,20,0.25,0.59,20,7.29,NA,NA,NA,NA,NA,7.29,empirical
Pyrus communis,NA,NA,NA,NA,NA,NA,NA,1.88304301,1.27479176,2.49129425,75.39114276,NA,75.39,modelled
Ranunculus acris,78.83,1877.31,18,132.02,4501.06,18,49.66,0.94602415,0.47957625,1.41247205,7.8312901,NA,49.66,empirical
Ranunculus bulbosus,49.33,1195.66,20,74.28,2638.19,20,10.98,0.94602415,0.47957625,1.41247205,7.8312901,NA,10.98,empirical
Ranunculus ficaria,13.2,807.27,20,47.14,15942.63,20,0.92,0.75321399,0.19664797,1.30978002,4.66518364,NA,0.92,empirical
Ranunculus flammula,11.84,315.72,20,13.14,403.85,20,4.47,0.94602415,0.47957625,1.41247205,7.8312901,NA,4.47,empirical
Ranunculus lingua,205.77,17366.78,10,218.93,18598.38,10,8.82,1.31179001,0.76793162,1.8556484,19.50170641,NA,8.82,empirical
Ranunculus repens,104.51,1613.87,14,183.83,9160.65,14,26.39,0.94602415,0.47957625,1.41247205,7.8312901,NA,26.39,empirical
Ranunculus sardous,NA,NA,NA,NA,NA,NA,NA,0.58103304,-0.001893,1.16395907,2.81094812,NA,2.81,modelled
Raphanus raphanistrum,115.08,4754.85,20,115.08,4754.85,20,NA,1.14748843,0.41288119,1.88209567,13.0439226,NA,13.04,modelled
Raphanus sativus,112.32,4681.16,10,112.32,4681.16,10,NA,1.65785302,1.02887369,2.28683235,44.48341034,0,0,default
Rhinanthus minor,108.9,5153.4,20,95.79,2092.48,20,50.05,1.85928526,0.88031053,2.83825999,71.32447043,NA,50.05,empirical
Rhododendron ponticum,1256.86,1134328.51,20,1256.86,1134328.51,20,196.91,NA,NA,NA,NA,NA,196.91,empirical
Rhynchospora alba,NA,NA,NA,NA,NA,NA,NA,0.2964999,-0.54944788,1.14244767,0.97924654,NA,0.98,modelled
Rosa canina agg.,17.33,377.66,17,34.25,2063.54,17,0.57,0.40630576,-0.18835245,1.00096396,1.54862393,NA,0.57,empirical
Rubus chamaemorus,NA,NA,NA,NA,NA,NA,NA,1.92406146,1.33836576,2.50975716,82.95787917,NA,82.96,modelled
Rubus fruticosus agg.,1892.83,4856781.94,20,1880.14,4899935.1,20,167.49,2.20762707,1.5449438,2.87031034,160.2972903,NA,167.49,empirical
Rubus idaeus,NA,NA,NA,NA,NA,NA,NA,2.28982732,1.67230677,2.90734787,193.9069467,NA,193.91,modelled
Sagina sp.,0,0,10,0,0,10,0,0.54257692,-0.08000278,1.16515661,2.48800353,NA,0,empirical
Salix alba,NA,NA,NA,NA,NA,NA,NA,3.55788468,2.23275113,4.88301822,3612.139042,NA,3612.14,modelled
Salix caprea,NA,NA,NA,NA,NA,NA,NA,3.55788468,2.23275113,4.88301822,3612.139042,NA,3612.14,modelled
Salix cinerea,36.03,1274.69,9,36.03,1274.69,9,3612.14,3.55788468,2.23275113,4.88301822,3612.139042,NA,3612.14,empirical
Salix fragilis,NA,NA,NA,NA,NA,NA,NA,3.55788468,2.23275113,4.88301822,3612.139042,NA,3612.14,modelled
Salix repens agg.,NA,NA,NA,NA,NA,NA,NA,3.0819193,1.62559125,4.53824734,1206.589409,NA,1206.59,modelled
Salvia pratensis,NA,NA,NA,NA,NA,NA,NA,2.68889801,2.1106555,3.26714053,487.537621,NA,487.54,modelled
Salvia verticillata,NA,NA,NA,NA,NA,NA,NA,2.32313216,1.80337829,2.84288602,209.4418711,NA,209.44,modelled
Sambucus nigra,9.21,18.31,10,12.52,12.61,10,42.45,1.39559818,0.62718689,2.16400947,23.86555614,NA,42.45,empirical
Sanguisorba minor,0.11,0.07,6,0.86,4.43,6,0.24,0.36154934,-0.21963816,0.94273685,1.29905489,NA,0.24,empirical
Saponaria officinalis,445.64,70524.28,7,445.64,70524.28,7,73.23,1.76989099,1.0957104,2.44407157,57.86958659,NA,73.23,empirical
Senecio erucifolius,26.86,571.91,10,26.86,571.91,10,1057.64,2.73132576,2.36546086,3.09719065,537.6736797,NA,1057.64,empirical
Senecio jacobaea,22.6,127.53,19,30.92,264.84,19,1602.69,2.73132576,2.36546086,3.09719065,537.6736797,NA,1602.69,empirical
Senecio vulgaris,0.19,0.69,20,0.25,1.25,20,74.33,1.67955934,1.27126115,2.08785753,46.81446942,NA,74.33,empirical
Sherardia arvensis,NA,NA,NA,NA,NA,NA,NA,0.50786384,-0.63773444,1.65346212,2.22005907,NA,2.22,modelled
Silene dioica,450.65,104164.74,20,450.65,104164.74,20,101.47,2.09090043,1.4035935,2.77820736,122.2822148,NA,101.47,empirical
Silene vulgaris,251.47,82165.54,6,251.47,82165.54,6,NA,1.93210137,1.18111459,2.68308814,84.5266311,NA,84.53,modelled
Sinapis arvensis,55.6,4456.07,20,55.6,4456.07,20,602.26,2.02855353,1.1241282,2.93297885,105.7956412,NA,602.26,empirical
Sison amomum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sisymbrium officinale,1.8,5.69,16,4.38,33.07,16,2.13,0.55851342,-0.1794868,1.29651364,2.61837372,NA,2.13,empirical
Solanum dulcamara,1.94,3.8,9,3.34,10.99,9,0.16,0.41552814,-0.405308,1.23636428,1.60332349,NA,0.16,empirical
Solanum nigrum,0,0,10,0,0,10,0,-0.44342812,-1.25768251,0.37082627,-0.63977663,NA,0,empirical
Solanum tuberosum,27.29,570.25,20,52.72,1789.46,20,0.42,0.24257244,-0.5525459,1.03769078,0.74812481,NA,0.42,empirical
Solidago canadensis,NA,NA,NA,NA,NA,NA,NA,2.73132576,2.36546086,3.09719065,537.6736797,NA,537.67,modelled
Sonchus arvensis,3.34,16.86,12,4.59,31.76,12,89.91,2.0453252,1.62026008,2.47039032,110.0005676,NA,89.91,empirical
Sonchus asper,0.13,0.24,30,0.17,0.4,30,3.45,1.77735964,1.21700096,2.33771831,58.89073392,NA,3.45,empirical
Sonchus oleraceus,3.58,14.13,20,5.76,37.08,20,119.53,2.32454145,1.56955932,3.07952357,210.1258663,NA,119.53,empirical
Sorbus aucuparia,40.54,2116.73,10,40.54,2116.73,10,77.34,1.88304301,1.27479176,2.49129425,75.39114276,NA,77.34,empirical
Sorbus torminalis,NA,NA,NA,NA,NA,NA,NA,0.45233676,-0.19337897,1.09805249,1.83358838,NA,1.83,modelled
Spergula arvensis/Spergularia rupicola,NA,NA,NA,NA,NA,NA,NA,0.1775858,-0.49531605,0.85048765,0.50517086,NA,0.51,modelled
Stachys palustris,NA,NA,NA,NA,NA,NA,NA,2.65488692,2.06948536,3.24028847,450.7383035,NA,450.74,modelled
Stachys sylvatica,311.11,14872.92,19,311.11,14872.92,19,NA,2.65488692,2.06948536,3.24028847,450.7383035,NA,450.74,modelled
Stellaria graminea,17.05,129.09,10,22.69,239.83,10,16.25,0.93874176,0.32864247,1.54884106,7.68443887,NA,16.25,empirical
Stellaria holostea,5.54,57.64,5,13.03,346.64,5,0.01,0.81054248,0.23149067,1.38959429,5.46461223,NA,0.01,empirical
Stellaria media,7.11,42.64,10,11.29,88.77,10,3.32,0.44555137,-0.18133745,1.07244018,1.78966058,NA,3.32,empirical
Stellaria palustris,NA,NA,NA,NA,NA,NA,NA,0.81054248,0.23149067,1.38959429,5.46461223,NA,5.46,modelled
Stellaria uliginosa,NA,NA,NA,NA,NA,NA,NA,0.54257692,-0.08000278,1.16515661,2.48800353,NA,2.49,modelled
Succisa pratensis,47.47,2648.46,20,47.47,2648.46,20,409.28,2.6443553,2.11078842,3.17792217,439.9154289,NA,409.28,empirical
Symphytum officinale,1969.46,829595.91,10,1969.46,829595.91,10,NA,3.29842791,1.70986812,4.88698769,1987.052756,NA,1987.05,modelled
Taraxacum agg.,22.57,507.61,19,26.31,658.44,19,686.23,2.73132576,2.36546086,3.09719065,537.6736797,NA,686.23,empirical
Teucrium scorodonia,173.61,29481.19,20,173.61,29481.19,20,104.65,2.32313216,1.80337829,2.84288602,209.4418711,NA,104.65,empirical
Thymus polytrichus,24.65,517.21,10,24.65,517.21,10,15.83,2.24653334,1.66688591,2.82618077,175.4141183,NA,15.83,empirical
Tilia platyphyllos,NA,NA,NA,NA,NA,NA,NA,2.4674666,1.36187062,3.57306258,292.4043831,NA,292.4,modelled
Trientalis europaea,NA,NA,NA,NA,NA,NA,NA,0.37918804,-0.42611429,1.18449037,1.39435223,NA,1.39,modelled
Trifolium arvense,NA,NA,NA,NA,NA,NA,NA,1.02276264,0.53197954,1.51354574,9.53810796,NA,9.54,modelled
Trifolium dubium,0,0,20,0,0,20,0,1.15096193,0.60585051,1.69607335,13.15669665,NA,0,empirical
Trifolium hybridum,NA,NA,NA,NA,NA,NA,NA,1.7087632,1.29861346,2.11891294,50.14029157,NA,50.14,modelled
Trifolium pratense,116.86,5041.12,18,125.46,5510.9,18,894.26,2.07452906,1.66041306,2.48864506,117.7214134,NA,894.26,empirical
Trifolium repens,48.97,1317.19,23,79.67,6476.01,23,803.62,1.7087632,1.29861346,2.11891294,50.14029157,NA,803.62,empirical
Tripleurospermum inodorum,NA,NA,NA,NA,NA,NA,NA,2.00056878,1.58930599,2.41183158,99.1310529,NA,99.13,modelled
Tripleurospermum maritimum/inodorum,NA,NA,NA,NA,NA,NA,NA,2.00056878,1.58930599,2.41183158,99.1310529,NA,99.13,modelled
Tussilago farfara,NA,NA,NA,NA,NA,NA,NA,2.20676084,1.67942386,2.73409781,159.9758899,NA,159.98,modelled
Ulex europaeus,1.98,2.42,20,8.1,58.63,20,1.11,2.07452906,1.66041306,2.48864506,117.7214134,NA,1.11,empirical
Ulex gallii,11.32,1056.13,14,42.09,21032.83,14,6.05,NA,NA,NA,NA,NA,6.05,empirical
Ulmus procera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaccinium myrtillus,1058.27,708120.34,18,1058.27,708120.34,18,143.15,2.16252337,1.51313813,2.8119086,144.386261,NA,143.15,empirical
Vaccinium oxycoccos,NA,NA,NA,NA,NA,NA,NA,2.29072265,1.60414946,2.97729584,194.3091772,NA,194.31,modelled
Vaccinium vitis-idaea,183.74,12947.26,10,183.74,12947.26,10,9.55,2.29072265,1.60414946,2.97729584,194.3091772,NA,9.55,empirical
Veronica arvensis,NA,NA,NA,NA,NA,NA,NA,0.74637668,-0.03841876,1.53117211,4.5766922,NA,4.58,modelled
Veronica chamaedrys,8.85,84.1,19,15.77,268.23,19,5.06,1.53985914,0.68472704,2.39499124,33.66244095,NA,5.06,empirical
Veronica montana,NA,NA,NA,NA,NA,NA,NA,1.53985914,0.68472704,2.39499124,33.66244095,NA,33.66,modelled
Veronica officinalis,NA,NA,NA,NA,NA,NA,NA,1.7003428,1.07152118,2.32916441,49.15829846,NA,49.16,modelled
Veronica persica,31.59,833.67,20,43.82,1434.55,20,42.87,1.01434224,0.33257835,1.69610613,9.33575578,NA,42.87,empirical
Veronica serpyllifolia,2.83,9.41,10,5.87,51.17,10,5.46,1.50753264,0.83028311,2.18478216,31.17604318,NA,5.46,empirical
Vicia cracca,484.4,169146.23,20,484.4,169146.23,20,105.55,1.91573,1.4623374,2.36912259,81.36259014,NA,105.55,empirical
Vicia sativa,300.34,44328.44,10,300.34,44328.44,10,327.02,1.51672779,1.00008739,2.03336818,31.86455717,NA,327.02,empirical
Vicia sepium,117.07,9144.48,7,117.07,9144.48,7,NA,1.8817189,1.41346633,2.34997146,75.15859075,NA,75.16,modelled
Viola arvensis,53.45,2171.83,10,53.45,2171.83,10,21.71,1.03115161,0.04287873,2.01942448,9.74364396,NA,21.71,empirical
Viola canina,NA,NA,NA,NA,NA,NA,NA,1.82631867,0.78546063,2.8671767,66.03763208,NA,66.04,modelled
Viola palustris,NA,NA,NA,NA,NA,NA,NA,1.71402416,0.45080024,2.97724809,50.76356309,NA,50.76,modelled
Viola riviniana,NA,NA,NA,NA,NA,NA,NA,1.66410829,0.67583541,2.65238116,45.1432613,NA,45.14,modelled
Viola riviniana/reichenbiana,173.41,42719.94,20,173.41,42719.94,20,20.83,1.66410829,0.67583541,2.65238116,45.1432613,NA,20.83,empirical